"Product ID
(Leave blank for New Product)",Product Name,"SKU 
(Do not edit SKU leave blank for adding new product)","Category ID
(Leave Blank if a new Category is added)","Category Name 
(If changing a category of product, make sure the correct Category ID is entered in Column B)",Alias name 1,Alias Name 2 ,Alias Name 3,"UPC 1
(Default)",UPC 2,UPC 3,Retail UPC 1,Retail UPC 2,Brand Name,Bin,Aisle,Zone,Weight,Weight Unit,Other Category IDs,Other Categories ,Status,Tags,"Online 
(Y or N)","Hot Seller
(Y or N)","Featured Product 
(Y or N)","Back Order
(Y or N)","BO Online
(Y or N)
(Cannot be ""Y"" if Back Order is ""N"")","New Arrival
(Y or N)","Base Cost Price
(Default UOM: Piece)","Net Cost Price
(Default UOM: Piece)","Sale Price
(Default UOM: Piece)",Curr. Available Quantity, New Available Quantity ,Image URL 1,Image Url 2,Image url 3 
752,Lost Mary MT35000 Disposable Vape- Berry Burst,1752,3,Disposable Vape Nicotine,,,,53603,,,,,Lost Mary,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,Y,Y,N,43.75,44,50.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/f0efad72-9a2b-40e5-af33-2c4799f9bedc,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/8cf6eb17-a621-422f-8dc7-addfdc7dd835,
1117,Kumi 6 Kurve 35K-Sour Watermelon Gummy,2117,3,Disposable Vape Nicotine,,,,13261,,,,,,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,52,160,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c22205f7-f127-4a29-b78a-796c1e7d8afa,,
1119,Kumi 6 Kurve 35K-Blue Kiwi Ice,2119,3,Disposable Vape Nicotine,,,,13263,,,,,,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,50,50,52,80,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/406fb371-3f37-4c31-a1f8-3b5cd89cf6ab,,
874,Lost Mary MT35000 Disposable Vape-Mountain Berry,1874,3,Disposable Vape Nicotine,,,,38253,,,,,Lost Mary,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,44,50.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/dd50bd20-0965-4d44-a4dd-5ffd40138a6b,,
999,KadoBar Drip 5% 50k Puffs-Grape Koolaid,1999,3,Disposable Vape Nicotine,,,,11785,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c5b08864-525e-4de1-b4bc-b997be051bcc,,
886,Geek Bar Pulse X 25K Disposable-GRAPE SLUSH,1886,3,Disposable Vape Nicotine,,,,22371,,,,,GeekBar,,,,,2,3,Disposable Vape Nicotine,Active,,Y,N,N,N,N,N,55,55,63.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/product/images/product-coming-soon.png,,
1116,Kumi 6 Kurve 35K- Strawberry Cake,2116,3,Disposable Vape Nicotine,,,,12457823,,,,,,,,,,2,3,Disposable Vape Nicotine,Active,,Y,Y,Y,Y,N,N,50,50,52,160,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/5d41285b-7a78-4d3b-93cd-dd43ef8f2afa,,
995,KadoBar Drip 5% 50k Puffs-Blue Razz Ice,1995,3,Disposable Vape Nicotine,,,,11781,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/640141cf-f942-477d-ac8f-8f18db78dad2,,
996,KadoBar Drip 5% 50k Puffs-Bomb Pop,1996,3,Disposable Vape Nicotine,,,,11782,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/c18f5daf-1b38-4e04-bdd8-b25d860db8fc,,
1007,KadoBar Drip 5% 50k Puffs-Triple Mango,2007,3,Disposable Vape Nicotine,,,,117813,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/5ed4b601-19a7-46f1-b9b7-28534a38541b,,
1009,KadoBar Drip 5% 50k Puffs-Wild Cherry Freeze,2009,3,Disposable Vape Nicotine,,,,117815,,,,,Kado Bar,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,55,55,64.95,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/28e53a3e-b66e-4ad6-b7a4-a6e3628f04fc,,
657,Lost Mary MT35000 Disposable Vape-Strawberry Kiwi,1657,3,Disposable Vape Nicotine,,,,60923,,,,,Lost Mary,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,44,50.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/be514b05-924a-4e3b-8cf4-62ccd4bd9e33,,
832,Lost Mary MT35000 Disposable Vape-Strawberry,1832,3,Disposable Vape Nicotine,,,,18452,,,,,Lost Mary,,,,,2,3,Disposable Vape Nicotine,Active,,N,N,N,N,N,N,43.75,44,50.25,0,,https://khub-app.s3-accelerate.amazonaws.com/media/prod/67/product/images/aa21933f-909d-47e3-b99d-2209c3337b38,,
